55515154;नागदहको थिति ;Naagdaha ko Thiti;Madhav Prasad Pokharel;Pokharel, Madhav Prasad;माधवप्रसाद पोखरेल;;;0;0,0;साझा प्रकाशन;Paperback;224;;;;2022/12/05;to-read;to-read (#276);to-read;;;;0;0
25972026;मान्ठा डराएको जुग ;Mantha Darayeko Jug;Mohan Mainali;Mainali, Mohan;मोहन मैनाली;;9789937893114;0;4,03;FinePrint;Paperback;318;2015;2015;;2022/12/05;to-read;to-read (#275);to-read;;;;0;0
12472872;वल्लीको डायरी ;Walli Ko Diary;Manisha Gauchan;Gauchan, Manisha;मनिषा गौचन;;;0;4,11;Sangri~la Books;Paperback;217;2012;2012;;2022/12/05;to-read;to-read (#274);to-read;;;;0;0
54459561;मदन रेग्मीका कविता ;Madan Regmi ka Kavita;Madan Regmi;Regmi, Madan;मदन रेग्मी;;;0;0,0;साझा प्रकाशन;Paperback;190;;;;2022/12/05;to-read;to-read (#272);to-read;;;;0;0
58346487;एउटा बूढो भ्वाइलिनः आशावरीको धुनमा ;Euta Budho Violin : Aashavari ko Dhoonma;Ramesh Vikal;Vikal, Ramesh;रमेश विकल;;;0;0,0;नेपाल राजकीय प्रज्ञा-प्रतिष्ठान;Paperback;163;;;;2022/12/05;to-read;to-read (#273);to-read;;;;0;0
18661646;ह्वाइट केन ;White Cane;Manisha Gauchan;Gauchan, Manisha;मनिषा गौचन;;9789937872140;0;3,90;Sangri~la Books;Paperback;309;2013;;;2022/12/05;to-read;to-read (#270);to-read;;;;0;0
42086075;भैरव अर्यालका हास्यव्यङ्ग्य ;Bhairab Aryal Ka Hasya Bangya;Bhairab Aryal;Aryal, Bhairab;भैरव अर्याल;;;0;4,17;भैरव पुरस्कार गुठी;Paperback;311;;;;2022/12/05;to-read;to-read (#271);to-read;;;;0;0
44088655;सागर उर्लन्छ सगरमाथा छुन ;Sagar Urlancha Sagarmatha Chuna;Ramesh Vikal;Vikal, Ramesh;रमेश विकल;9993325015;9789993325017;0;3,67;साझा प्रकाशन;Paperback;285;2006;;;2022/12/05;to-read;to-read (#269);to-read;;;;0;0
53164033;सर्पहरू गीत सुन्दैनन् ;Sarpaharu Geet Sundainan;Shailendra Sakar;Sakar, Shailendra;शैलेन्द्र साकार;;9788182500501;0;0,0;निराला पव्लिकेशन्स;Paperback;108;;;;2022/12/05;to-read;to-read (#268);to-read;;;;0;0
18166214;मसान ;Masan;Gopal Prasad Rimal;Rimal, Gopal Prasad;गोपालप्रसाद रिमाल;9993328308;9789993328308;0;3,82;Sajha Prakashan;Paperback;63;2009;2001;;2022/12/05;to-read;to-read (#267);to-read;;;;0;0
